,name,fulName,id,total_count,error_total,iac_count,error_iac,iacPercent,error_percent,isCriteria2Met
1326,wikipedia-wikiwidgets-Vivarium,wikimedia/wikipedia-wikiwidgets-Vivarium,37849490,8,0,0,0,0.0,0,0
1327,wikipedia-wikiwidgets-Formicarium,wikimedia/wikipedia-wikiwidgets-Formicarium,37849416,8,0,0,0,0.0,0,0
1328,wikipedia-wikiwidgets,wikimedia/wikipedia-wikiwidgets,37849394,0,0,0,0,0.0,1,0
1329,mediawiki-extensions-WikibaseQualityConstraints,wikimedia/mediawiki-extensions-WikibaseQualityConstraints,37662648,423,0,0,0,0.0,0,0
1330,mediawiki-extensions-BSExtendedSearch,wikimedia/mediawiki-extensions-BSExtendedSearch,37626212,1,0,0,0,0.0,0,0
1331,IPSet,wikimedia/IPSet,37478369,18,0,0,0,0.0,0,0
1332,mediawiki-extensions-DebugTemplates,wikimedia/mediawiki-extensions-DebugTemplates,37457902,73,0,0,0,0.0,0,0
1333,operations-debs-confd,wikimedia/operations-debs-confd,37327931,1187,0,0,0,0.0,0,0
1334,ve-needcheck-reporter-bot,wikimedia/ve-needcheck-reporter-bot,37223881,4,0,0,0,0.0,0,0
1335,wikilabels-wmflabs-deploy,wikimedia/wikilabels-wmflabs-deploy,37203343,343,0,0,0,0.0,0,0
1336,operations-debs-contenttranslation-python-toro,wikimedia/operations-debs-contenttranslation-python-toro,37199398,0,0,0,0,0.0,1,0
1337,ores-wmflabs-deploy,wikimedia/ores-wmflabs-deploy,37163948,22,0,0,0,0.0,0,0
1338,AhoCorasick,wikimedia/AhoCorasick,37032622,19,0,0,0,0.0,0,0
1339,at-ease,wikimedia/at-ease,36994348,17,0,0,0,0.0,0,0
1340,labs-tools-forrestbot,wikimedia/labs-tools-forrestbot,36898250,30,0,0,0,0.0,0,0
1341,operations-software-conftool,wikimedia/operations-software-conftool,36800139,148,0,0,0,0.0,0,0
1342,labs-tools-translatemplate,wikimedia/labs-tools-translatemplate,36788040,11,0,0,0,0.0,0,0
1343,mediawiki-extensions-PhpTagsStorage,wikimedia/mediawiki-extensions-PhpTagsStorage,36694018,45,0,0,0,0.0,0,0
1344,wikimedia-fundraising-php-queue,wikimedia/wikimedia-fundraising-php-queue,36576519,1,0,0,0,0.0,0,0
1345,labs-tools-flow-oauth-demo,wikimedia/labs-tools-flow-oauth-demo,36191627,1,0,0,0,0.0,0,0
1346,operations-debs-python-etcd,wikimedia/operations-debs-python-etcd,36003826,45,0,0,0,0.0,0,0
1347,operations-debs-contenttranslation-apertium-sme-nob,wikimedia/operations-debs-contenttranslation-apertium-sme-nob,35879201,167,0,0,0,0.0,0,0
1348,operations-debs-contenttranslation-apertium-mlt-ara,wikimedia/operations-debs-contenttranslation-apertium-mlt-ara,35879194,100,0,0,0,0.0,0,0
1349,operations-debs-contenttranslation-apertium-is-sv,wikimedia/operations-debs-contenttranslation-apertium-is-sv,35879191,33,0,0,0,0.0,0,0
1350,operations-debs-contenttranslation-apertium-isl-eng,wikimedia/operations-debs-contenttranslation-apertium-isl-eng,35879187,126,0,0,0,0.0,0,0
1351,operations-debs-contenttranslation-apertium-es-ro,wikimedia/operations-debs-contenttranslation-apertium-es-ro,35879181,35,0,0,0,0.0,0,0
1352,operations-debs-contenttranslation-apertium-es-it,wikimedia/operations-debs-contenttranslation-apertium-es-it,35879176,45,0,0,0,0.0,0,0
1353,operations-debs-contenttranslation-apertium-eo-fr,wikimedia/operations-debs-contenttranslation-apertium-eo-fr,35879171,106,0,0,0,0.0,0,0
1354,operations-debs-contenttranslation-apertium-eo-es,wikimedia/operations-debs-contenttranslation-apertium-eo-es,35879170,33,0,0,0,0.0,0,0
1355,operations-debs-contenttranslation-apertium-eo-ca,wikimedia/operations-debs-contenttranslation-apertium-eo-ca,35879163,58,0,0,0,0.0,0,0
1356,operations-debs-contenttranslation-apertium-cy-en,wikimedia/operations-debs-contenttranslation-apertium-cy-en,35879154,42,0,0,0,0.0,0,0
1357,operations-debs-contenttranslation-apertium-ca-it,wikimedia/operations-debs-contenttranslation-apertium-ca-it,35879148,73,0,0,0,0.0,0,0
1358,wikidata-query-blazegraph,wikimedia/wikidata-query-blazegraph,35841129,7407,0,0,0,0.0,0,0
1359,wikidata-query,wikimedia/wikidata-query,35841117,0,0,0,0,0.0,1,0
1360,mediawiki-extensions-SmiteSpam,wikimedia/mediawiki-extensions-SmiteSpam,35576967,100,0,0,0,0.0,0,0
1361,operations-software-tendril,wikimedia/operations-software-tendril,35518159,115,0,0,0,0.0,0,0
1362,operations-software-tools-webservice,wikimedia/operations-software-tools-webservice,35448557,33,0,0,0,0.0,0,0
1363,operations-software-deployment-trebuchet-trigger,wikimedia/operations-software-deployment-trebuchet-trigger,35293987,22,0,0,0,0.0,0,0
1364,labs-tools-wikidipendenza,wikimedia/labs-tools-wikidipendenza,35244831,14,0,0,0,0.0,0,0
1365,operations-debs-linux-meta,wikimedia/operations-debs-linux-meta,35203441,6,0,0,0,0.0,0,0
1366,labs-tools-extreg-wos,wikimedia/labs-tools-extreg-wos,35087317,9,0,0,0,0.0,0,0
1367,mediawiki-extensions-MassMessageEmail,wikimedia/mediawiki-extensions-MassMessageEmail,35087243,44,0,0,0,0.0,0,0
1368,mediawiki-extensions-Prezi,wikimedia/mediawiki-extensions-Prezi,35087160,49,0,0,0,0.0,0,0
1369,operations-puppet-mesos,wikimedia/operations-puppet-mesos,34965039,35,0,8,0,0.22857142857142856,0,1
1370,operations-software-tools-checker,wikimedia/operations-software-tools-checker,34889251,0,0,0,0,0.0,1,0
1371,labs-tools-crosswatch,wikimedia/labs-tools-crosswatch,34881346,424,0,0,0,0.0,0,0
1372,json-stable-stringify,wikimedia/json-stable-stringify,34876747,0,0,0,0,0.0,1,0
1373,mediawiki-extensions-OOJsUIAjaxLogin,wikimedia/mediawiki-extensions-OOJsUIAjaxLogin,34845493,60,0,0,0,0.0,0,0
1374,operations-debs-linux,wikimedia/operations-debs-linux,34839476,48257,0,0,0,0.0,0,0
1375,mediawiki-extensions-StaffPowers,wikimedia/mediawiki-extensions-StaffPowers,34818366,40,0,0,0,0.0,0,0
1376,mediawiki-services-mathoid-deploy,wikimedia/mediawiki-services-mathoid-deploy,34760906,6321,0,0,0,0.0,0,0
1377,mediawiki-extensions-LinkTarget,wikimedia/mediawiki-extensions-LinkTarget,34760851,45,0,0,0,0.0,0,0
1378,mediawiki-extensions-FlickrAPI,wikimedia/mediawiki-extensions-FlickrAPI,34660989,53,0,0,0,0.0,0,0
1379,mediawiki-extensions-SMWEnrich,wikimedia/mediawiki-extensions-SMWEnrich,34543321,1,0,0,0,0.0,0,0
1380,integration-raita,wikimedia/integration-raita,34543178,27,0,0,0,0.0,0,0
1381,labs-tools-cdnjs-index,wikimedia/labs-tools-cdnjs-index,34489535,9,0,0,0,0.0,0,0
1382,mediawiki-services-python-cache-relay,wikimedia/mediawiki-services-python-cache-relay,34398111,8,0,0,0,0.0,0,0
1383,mediawiki-tools-messdetector,wikimedia/mediawiki-tools-messdetector,34198485,2,0,0,0,0.0,0,0
