68,xstatic-graphlib,openstack/xstatic-graphlib,267315886,0,0,0,0
69,ansible-role-lunasa-hsm,openstack/ansible-role-lunasa-hsm,267315868,15,0,0,0
70,xstatic-moment,openstack/xstatic-moment,267315859,12,0,0,0
71,charm-trilio-dm-api,openstack/charm-trilio-dm-api,267315851,42,0,0,0
72,xstatic-lodash,openstack/xstatic-lodash,267315838,17,0,0,0
73,xstatic-dagre,openstack/xstatic-dagre,267315833,15,0,0,0
74,charm-trilio-data-mover,openstack/charm-trilio-data-mover,267315822,47,0,0,0
75,openstack-tempest-skiplist,openstack/openstack-tempest-skiplist,267315805,0,0,0,0
76,xstatic-moment-timezone,openstack/xstatic-moment-timezone,267315797,15,0,0,0
77,charm-trilio-horizon-plugin,openstack/charm-trilio-horizon-plugin,267315783,41,0,0,0
78,xstatic-dagre-d3,openstack/xstatic-dagre-d3,267315771,15,0,0,0
79,charm-trilio-wlm,openstack/charm-trilio-wlm,267315759,53,0,0,0
80,oslo.metrics,openstack/oslo.metrics,267016897,40,0,0,0
81,devstack-plugin-open-cas,openstack/devstack-plugin-open-cas,247115917,8,0,0,0
82,validations-libs,openstack/validations-libs,246390860,109,0,0,0
83,validations-common,openstack/validations-common,246390808,193,0,0,0
84,charm-watcher-dashboard,openstack/charm-watcher-dashboard,235978815,33,0,0,0
85,charm-interface-keystone-notifications,openstack/charm-interface-keystone-notifications,235978750,9,0,0,0
86,multi-arch-sig,openstack/multi-arch-sig,235143318,15,0,0,0
87,ideas,openstack/ideas,234126380,26,0,0,0
88,charm-watcher,openstack/charm-watcher,234114366,37,0,0,0
89,tripleo-operator-ansible,openstack/tripleo-operator-ansible,227891202,748,0,0,0
90,ovn-octavia-provider,openstack/ovn-octavia-provider,227891041,106,0,0,0
91,charm-interface-cinder-backup,openstack/charm-interface-cinder-backup,225654930,9,0,0,0
92,charm-cinder-backup-swift-proxy,openstack/charm-cinder-backup-swift-proxy,225654860,33,0,0,0
93,ansible-plugin-container-connection,openstack/ansible-plugin-container-connection,225071141,35,0,0,0
94,charm-manila-ganesha,openstack/charm-manila-ganesha,221855454,48,0,0,0
95,barbican-ui,openstack/barbican-ui,216674073,71,0,0,0
96,charm-neutron-api-plugin-ovn,openstack/charm-neutron-api-plugin-ovn,215836712,53,0,0,0
97,charm-mysql-router,openstack/charm-mysql-router,215601920,51,0,0,0
98,charm-mysql-innodb-cluster,openstack/charm-mysql-innodb-cluster,215601863,62,0,0,0
99,charm-interface-mysql-router,openstack/charm-interface-mysql-router,215601814,15,0,0,0
100,charm-interface-mysql-innodb-cluster,openstack/charm-interface-mysql-innodb-cluster,215601767,13,0,0,0
101,charm-placement,openstack/charm-placement,213950196,44,0,0,0
102,charm-interface-placement,openstack/charm-interface-placement,213950133,12,0,0,0
103,ansible-collections-openstack,openstack/ansible-collections-openstack,210877584,267,0,0,0
104,charm-cinder-purestorage,openstack/charm-cinder-purestorage,206616668,35,0,0,0
105,openstack-ansible-os_murano,openstack/openstack-ansible-os_murano,203503975,34,0,0,0
106,ansible-role-uwsgi,openstack/ansible-role-uwsgi,202185103,31,0,0,0
107,ironic-prometheus-exporter,openstack/ironic-prometheus-exporter,195096537,79,0,0,0
108,charm-octavia-diskimage-retrofit,openstack/charm-octavia-diskimage-retrofit,193596179,48,0,0,0
109,publiccloud-sig,openstack/publiccloud-sig,189644870,15,0,0,0
110,charm-nova-lxd,openstack/charm-nova-lxd,189644646,150,0,0,0
111,charm-keystone-saml-mellon,openstack/charm-keystone-saml-mellon,187086734,48,0,0,0
112,charm-interface-websso-fid-service-provider,openstack/charm-interface-websso-fid-service-provider,187086492,9,0,0,0
113,charm-interface-keystone-fid-service-provider,openstack/charm-interface-keystone-fid-service-provider,187086243,9,0,0,0
114,cyborg-tempest-plugin,openstack/cyborg-tempest-plugin,186971257,45,0,0,0
115,charm-pacemaker-remote,openstack/charm-pacemaker-remote,180242838,31,0,0,0
116,charm-masakari-monitors,openstack/charm-masakari-monitors,180242780,39,0,0,0
117,charm-masakari,openstack/charm-masakari,180242719,42,0,0,0
118,charm-interface-pacemaker-remote,openstack/charm-interface-pacemaker-remote,180242687,11,0,0,0
119,ansible-role-collect-logs,openstack/ansible-role-collect-logs,179762789,96,0,0,0
120,auto-scaling-sig,openstack/auto-scaling-sig,173972380,29,0,0,0
121,charm-layer-ceph,openstack/charm-layer-ceph,173292656,12,0,0,0
122,charm-interface-ceph-rbd-mirror,openstack/charm-interface-ceph-rbd-mirror,173292605,13,0,0,0
123,charm-ceph-rbd-mirror,openstack/charm-ceph-rbd-mirror,173292563,50,0,0,0
124,cinderlib,openstack/cinderlib,171542050,123,0,0,0
125,openstack-ansible-os_mistral,openstack/openstack-ansible-os_mistral,169274628,49,0,0,0
126,ansible-role-thales-hsm,openstack/ansible-role-thales-hsm,168182033,23,0,0,0
127,ansible-role-atos-hsm,openstack/ansible-role-atos-hsm,168181957,17,0,0,0
128,charm-interface-cinder-backend,openstack/charm-interface-cinder-backend,166894165,12,0,0,0
129,openstack-virtual-baremetal,openstack/openstack-virtual-baremetal,165838991,181,0,0,0
130,sahara-plugin-vanilla,openstack/sahara-plugin-vanilla,164452408,140,0,0,0
131,sahara-plugin-storm,openstack/sahara-plugin-storm,164452349,67,0,0,0
132,sahara-plugin-spark,openstack/sahara-plugin-spark,164452287,78,0,0,0
133,sahara-plugin-mapr,openstack/sahara-plugin-mapr,164452233,192,0,0,0
134,sahara-plugin-cdh,openstack/sahara-plugin-cdh,164452161,465,0,0,0
135,sahara-plugin-ambari,openstack/sahara-plugin-ambari,164452106,92,0,0,0
136,os-resource-classes,openstack/os-resource-classes,161205365,32,0,0,0
137,arch-design,openstack/arch-design,159859688,79,0,0,0
138,charm-octavia-dashboard,openstack/charm-octavia-dashboard,157556150,40,0,0,0
139,charm-interface-neutron-load-balancer,openstack/charm-interface-neutron-load-balancer,157556108,13,0,0,0
140,charm-interface-dashboard-plugin,openstack/charm-interface-dashboard-plugin,157556073,13,0,0,0
141,charm-interface-barbican-secrets,openstack/charm-interface-barbican-secrets,157556033,15,0,0,0
142,charm-barbican-vault,openstack/charm-barbican-vault,157556007,42,0,0,0
143,openstack-ansible-os_placement,openstack/openstack-ansible-os_placement,155900849,49,0,0,0
144,openstack-helm-images,openstack/openstack-helm-images,154882357,151,0,0,0
145,blazar-specs,openstack/blazar-specs,154554619,44,0,0,0
146,openstack-ansible-os_manila,openstack/openstack-ansible-os_manila,153816895,57,0,0,0
147,charm-octavia,openstack/charm-octavia,153811533,60,0,0,0
148,charm-nova-cell-controller,openstack/charm-nova-cell-controller,153811504,39,0,0,0
149,charm-interface-nova-compute,openstack/charm-interface-nova-compute,153811473,10,0,0,0
150,charm-interface-nova-cell,openstack/charm-interface-nova-cell,153811446,11,0,0,0
151,tenks,openstack/tenks,153473072,129,0,0,0
152,octavia-lib,openstack/octavia-lib,150789790,81,0,0,0
153,ansible-role-chrony,openstack/ansible-role-chrony,150503192,34,0,0,0
154,puppet-placement,openstack/puppet-placement,149168262,119,19,0.159663866,1
155,oslo.upgradecheck,openstack/oslo.upgradecheck,149168216,47,0,0,0
156,kayobe-config-dev,openstack/kayobe-config-dev,149168078,67,0,0,0
157,placement,openstack/placement,146849027,426,0,0,0
158,os-ken,openstack/os-ken,146703610,1564,0,0,0
159,tripleo-ansible,openstack/tripleo-ansible,143914652,1609,0,0,0
160,ansible-role-openstack-operations,openstack/ansible-role-openstack-operations,141147117,42,0,0,0
161,cookbook-openstackclient,openstack/cookbook-openstackclient,136289438,32,0,0,0
162,openstack-ansible-os_zun,openstack/openstack-ansible-os_zun,136280625,61,0,0,0
163,ansible-role-qdrouterd,openstack/ansible-role-qdrouterd,136280191,58,0,0,0
164,charm-glance-simplestreams-sync,openstack/charm-glance-simplestreams-sync,135754153,167,0,0,0
165,ansible-role-tripleo-modify-image,openstack/ansible-role-tripleo-modify-image,134661411,38,0,0,0
166,kayobe-config,openstack/kayobe-config,133863190,61,0,0,0
167,metalsmith,openstack/metalsmith,133382159,102,0,0,0
168,openstack-ansible-os_blazar,openstack/openstack-ansible-os_blazar,132612469,50,0,0,0
169,charm-neutron-dynamic-routing,openstack/charm-neutron-dynamic-routing,132608422,42,0,0,0
170,charm-interface-bgp,openstack/charm-interface-bgp,132608374,14,0,0,0
171,constellations,openstack/constellations,132051353,15,0,0,0
172,openstack-ansible-os_masakari,openstack/openstack-ansible-os_masakari,131864020,59,0,0,0
173,cookbook-openstack-dns,openstack/cookbook-openstack-dns,131863686,44,0,0,0
174,ansible-role-container-registry,openstack/ansible-role-container-registry,131065118,41,0,0,0
175,tripleo-ha-utils,openstack/tripleo-ha-utils,129417076,76,0,0,0
176,python-cyborgclient,openstack/python-cyborgclient,126980776,100,0,0,0
177,ansible-role-python_venv_build,openstack/ansible-role-python_venv_build,126617521,52,0,0,0
178,cyborg-specs,openstack/cyborg-specs,126014945,94,0,0,0
179,oslo.limit,openstack/oslo.limit,125912631,51,0,0,0
180,ansible-role-systemd_service,openstack/ansible-role-systemd_service,125905459,52,0,0,0
181,ansible-role-systemd_networkd,openstack/ansible-role-systemd_networkd,125905424,51,0,0,0
182,ansible-role-systemd_mount,openstack/ansible-role-systemd_mount,125905388,49,0,0,0
183,xstatic-json2yaml,openstack/xstatic-json2yaml,125808455,12,0,0,0
184,xstatic-js-yaml,openstack/xstatic-js-yaml,125808427,12,0,0,0
185,xstatic-filesaver,openstack/xstatic-filesaver,125808405,12,0,0,0
186,xstatic-angular-vis,openstack/xstatic-angular-vis,125808383,12,0,0,0
187,xstatic-angular-uuid,openstack/xstatic-angular-uuid,125808359,12,0,0,0
188,xstatic-angular-notify,openstack/xstatic-angular-notify,125808339,14,0,0,0
189,xstatic-angular-material,openstack/xstatic-angular-material,125808314,306,0,0,0
190,ansible-config_template,openstack/ansible-config_template,125581459,75,0,0,0
191,kayobe,openstack/kayobe,123940944,1083,0,0,0
192,openstack-ansible-os_panko,openstack/openstack-ansible-os_panko,122372070,2,0,0,0
193,openstack-ansible-nspawn_hosts,openstack/openstack-ansible-nspawn_hosts,122361217,2,0,0,0
194,openstack-ansible-nspawn_container_create,openstack/openstack-ansible-nspawn_container_create,122361185,2,0,0,0
195,rally-openstack,openstack/rally-openstack,122128286,1506,0,0,0
196,charm-vault,openstack/charm-vault,121403702,61,0,0,0
197,charm-panko,openstack/charm-panko,118523296,3,0,0,0
198,tempest-stress,openstack/tempest-stress,118363784,52,0,0,0
199,charm-ironic,openstack/charm-ironic,118346394,105,0,0,0
200,goal-tools,openstack/goal-tools,117906925,126,0,0,0
201,charm-interface-designate,openstack/charm-interface-designate,116727948,11,0,0,0
202,blazar-tempest-plugin,openstack/blazar-tempest-plugin,116157560,49,0,0,0
203,telemetry-tempest-plugin,openstack/telemetry-tempest-plugin,114690333,51,0,0,0
204,trove-tempest-plugin,openstack/trove-tempest-plugin,114412300,50,0,0,0
205,vitrage-tempest-plugin,openstack/vitrage-tempest-plugin,114410418,123,0,0,0
206,monasca-tempest-plugin,openstack/monasca-tempest-plugin,114410250,82,0,0,0
207,ec2api-tempest-plugin,openstack/ec2api-tempest-plugin,114407162,51,0,0,0
208,ansible-role-redhat-subscription,openstack/ansible-role-redhat-subscription,114041479,29,0,0,0
209,self-healing-sig,openstack/self-healing-sig,113479497,52,0,0,0
210,mistral-tempest-plugin,openstack/mistral-tempest-plugin,113311436,73,0,0,0
211,tripleo-ipsec,openstack/tripleo-ipsec,112732304,38,0,0,0
212,masakari-dashboard,openstack/masakari-dashboard,112728253,99,0,0,0
213,governance-sigs,openstack/governance-sigs,111934728,23,0,0,0
214,heat-tempest-plugin,openstack/heat-tempest-plugin,110993073,90,0,0,0
215,cloudkitty-tempest-plugin,openstack/cloudkitty-tempest-plugin,109673175,33,0,0,0
216,cinder-tempest-plugin,openstack/cinder-tempest-plugin,109673153,52,0,0,0
217,openstack-ansible-os_congress,openstack/openstack-ansible-os_congress,109159677,2,0,0,0
218,senlin-tempest-plugin,openstack/senlin-tempest-plugin,107254479,164,0,0,0
219,heat-dashboard,openstack/heat-dashboard,107113846,494,0,0,0
220,manila-tempest-plugin,openstack/manila-tempest-plugin,106527827,189,0,0,0
221,magnum-tempest-plugin,openstack/magnum-tempest-plugin,106518044,71,0,0,0
222,contributor-guide,openstack/contributor-guide,106468386,129,0,0,0
223,neutron-tempest-plugin,openstack/neutron-tempest-plugin,104250132,248,0,0,0
224,zun-tempest-plugin,openstack/zun-tempest-plugin,103186661,67,0,0,0
225,zaqar-tempest-plugin,openstack/zaqar-tempest-plugin,103186649,62,0,0,0
226,murano-tempest-plugin,openstack/murano-tempest-plugin,103186630,122,0,0,0
227,monasca-specs,openstack/monasca-specs,102588893,52,0,0,0
228,whereto,openstack/whereto,101313763,43,0,0,0
229,solum-tempest-plugin,openstack/solum-tempest-plugin,101154575,58,0,0,0
230,upstream-institute-virtual-environment,openstack/upstream-institute-virtual-environment,100247040,57,0,0,0
231,charm-interface-gnocchi,openstack/charm-interface-gnocchi,99969184,10,0,0,0
232,charm-interface-ceph-client,openstack/charm-interface-ceph-client,99969176,25,0,0,0
233,charm-gnocchi,openstack/charm-gnocchi,99969165,49,0,0,0
234,watcher-tempest-plugin,openstack/watcher-tempest-plugin,99956239,80,0,0,0
235,tripleo-upgrade,openstack/tripleo-upgrade,98898482,168,0,0,0
236,oswin-tempest-plugin,openstack/oswin-tempest-plugin,98626595,48,0,0,0
237,charm-deployment-guide,openstack/charm-deployment-guide,97932575,24,0,0,0
238,openstack-ansible-os_tacker,openstack/openstack-ansible-os_tacker,97694441,54,0,0,0
239,os-service-types,openstack/os-service-types,96524824,49,0,0,0
240,ironic-python-agent-builder,openstack/ironic-python-agent-builder,96250496,140,0,0,0
241,blazar-dashboard,openstack/blazar-dashboard,96084454,98,0,0,0
242,python-adjutantclient,openstack/python-adjutantclient,95636703,42,0,0,0
243,adjutant-ui,openstack/adjutant-ui,95636697,154,0,0,0
244,freezer-tempest-plugin,openstack/freezer-tempest-plugin,94874360,71,0,0,0
245,openstack-helm-infra,openstack/openstack-helm-infra,94869915,1409,0,0,0
246,neutron-vpnaas-dashboard,openstack/neutron-vpnaas-dashboard,94869893,114,0,0,0
247,neutron-fwaas-dashboard,openstack/neutron-fwaas-dashboard,94869873,129,0,0,0
248,adjutant,openstack/adjutant,94869844,170,0,0,0
249,kuryr-tempest-plugin,openstack/kuryr-tempest-plugin,94209676,50,0,0,0
250,ptgbot,openstack/ptgbot,93161650,41,0,0,0
251,charm-manila-glusterfs,openstack/charm-manila-glusterfs,93072613,3,0,0,0
252,charm-glusterfs,openstack/charm-glusterfs,93072594,3,0,0,0
253,keystone-tempest-plugin,openstack/keystone-tempest-plugin,93066618,89,0,0,0
254,ansible-hardening,openstack/ansible-hardening,92485918,411,0,0,0
255,sphinx-feature-classification,openstack/sphinx-feature-classification,90404580,43,0,0,0
256,openstack-zuul-roles,openstack/openstack-zuul-roles,90157209,12,0,0,0
257,openstack-zuul-jobs,openstack/openstack-zuul-jobs,90157196,240,0,0,0
258,paunch,openstack/paunch,89629920,2,0,0,0
259,openstack-ansible-os_karbor,openstack/openstack-ansible-os_karbor,88601530,1,0,0,0
260,devstack-plugin-container,openstack/devstack-plugin-container,88031769,26,0,0,0
261,openstack-helm,openstack/openstack-helm,87913000,1364,0,0,0
262,sushy-tools,openstack/sushy-tools,87053802,168,0,0,0
263,osc-placement,openstack/osc-placement,86675864,93,0,0,0
264,loci,openstack/loci,86310723,53,0,0,0
265,python-octaviaclient,openstack/python-octaviaclient,85058601,147,0,0,0
266,octavia-tempest-plugin,openstack/octavia-tempest-plugin,85058592,127,0,0,0
267,octavia-dashboard,openstack/octavia-dashboard,85058580,304,0,0,0
