number,name,fullname,id,fileCount,iacCount,iacPercentage,isCriteria2Met
84,spaced-armour-tests,Mirantis/spaced-armour-tests,80195318,33,0,0,0
85,stacklight-salt-model,Mirantis/stacklight-salt-model,79906821,69,0,0,0
86,ifmap-python-client,Mirantis/ifmap-python-client,79810109,16,0,0,0
87,k8s-netchecker-server,Mirantis/k8s-netchecker-server,78005922,48,0,0,0
88,k8s-netchecker-agent,Mirantis/k8s-netchecker-agent,78005378,24,0,0,0
89,bird-containers,Mirantis/bird-containers,76043126,43,0,0,0
90,whale,Mirantis/whale,75394185,91,0,0,0
91,stepler-draft,Mirantis/stepler-draft,74979322,212,0,0,0
92,reclass-system-salt-model,Mirantis/reclass-system-salt-model,74590189,2339,0,0,0
93,k8s-daemonupgradecontroller,Mirantis/k8s-daemonupgradecontroller,74123545,1,0,0,0
94,rpc_monitor,Mirantis/rpc_monitor,73903211,16,0,0,0
95,kostyor-openstack-ansible,Mirantis/kostyor-openstack-ansible,73832730,25,0,0,0
96,compliance,Mirantis/compliance,73235307,1018,0,0,0
97,rabbitmq-autocluster,Mirantis/rabbitmq-autocluster,71781596,55,0,0,0
98,k8s-externalipcontroller,Mirantis/k8s-externalipcontroller,71359393,72,0,0,0
99,tcp-qa,Mirantis/tcp-qa,71233645,454,0,0,0
100,statkube,Mirantis/statkube,71142744,33,0,0,0
101,mk-lab-salt-model,Mirantis/mk-lab-salt-model,70062548,421,0,0,0
102,ccp-docker-opencontrail,Mirantis/ccp-docker-opencontrail,69250440,15,0,0,0
103,stepler,Mirantis/stepler,69032770,495,0,0,0
104,ccp-docker-gerrit,Mirantis/ccp-docker-gerrit,68393782,11,0,0,0
105,ccp-docker-jenkins,Mirantis/ccp-docker-jenkins,68393316,30,0,0,0
106,ccp-pipeline-libs,Mirantis/ccp-pipeline-libs,68393282,7,0,0,0
107,k8s-devbox,Mirantis/k8s-devbox,67054301,30,0,0,0
108,virtlet,Mirantis/virtlet,66279588,536,0,0,0
109,kostyor-cli,Mirantis/kostyor-cli,65840768,27,0,0,0
110,CloudFerry,Mirantis/CloudFerry,64761604,437,0,0,0
111,k8s-AppController,Mirantis/k8s-AppController,64461564,232,0,0,0
112,ceph-lcm,Mirantis/ceph-lcm,63259958,989,0,0,0
113,mira-ceph-ansible,Mirantis/mira-ceph-ansible,62792052,9,0,0,0
114,ceph-monitoring,Mirantis/ceph-monitoring,62792029,54,0,0,0
115,fuel-plugin-lcm-control-repo,Mirantis/fuel-plugin-lcm-control-repo,62058156,0,0,0,0
116,fuel-plugin-lcm,Mirantis/fuel-plugin-lcm,62058117,129,39,0.302325581,2
117,ceph-qa-suite,Mirantis/ceph-qa-suite,60607722,1500,0,0,0
118,ceph-cm-ansible,Mirantis/ceph-cm-ansible,60607713,322,0,0,0
119,teuthology,Mirantis/teuthology,60607698,262,0,0,0
120,ceph,Mirantis/ceph,60607686,3527,0,0,0
121,northshore,Mirantis/northshore,58933486,14802,0,0,0
122,mos-coverage,Mirantis/mos-coverage,57050397,1,0,0,0
123,fuel-plugin-docs,Mirantis/fuel-plugin-docs,57041197,29,0,0,0
124,fuel-plugin-vxlan-vlan-7,Mirantis/fuel-plugin-vxlan-vlan-7,55972589,16,2,0.125,1
125,mos-horizon,Mirantis/mos-horizon,55415082,2301,0,0,0
126,fuel-plugin-external-ceph,Mirantis/fuel-plugin-external-ceph,54970227,25,12,0.48,1
127,kostyor,Mirantis/kostyor,54571653,81,0,0,0
128,puppet-manifests,Mirantis/puppet-manifests,52543855,0,0,0,0
129,f2s,Mirantis/f2s,52539164,21,0,0,0
130,mos-components-ci,Mirantis/mos-components-ci,52099218,151,0,0,0
131,fuel-plugin-etckeeper,Mirantis/fuel-plugin-etckeeper,51072538,23,3,0.130434783,1
132,fuel-plugin-standalone-ceph,Mirantis/fuel-plugin-standalone-ceph,48381209,31,15,0.483870968,1
133,fuel-plugin-openldap,Mirantis/fuel-plugin-openldap,48372001,52,17,0.326923077,1
134,tuning-box,Mirantis/tuning-box,48371932,43,0,0,0
135,mos-ci-jenkinsjobs,Mirantis/mos-ci-jenkinsjobs,47699321,0,0,0,0
136,mos-ci-deployment-scripts,Mirantis/mos-ci-deployment-scripts,47699309,241,0,0,0
137,mos-integration-tests,Mirantis/mos-integration-tests,47408971,234,0,0,0
138,fuel-plugin-backup,Mirantis/fuel-plugin-backup,47274074,22,4,0.181818182,1
139,fuel-plugin-swift,Mirantis/fuel-plugin-swift,47274062,21,5,0.238095238,1
140,solar-agent,Mirantis/solar-agent,46733289,12,0,0,0
141,solar-resources,Mirantis/solar-resources,46733227,354,63,0.177966102,1
142,fuel-plugin-celebrer,Mirantis/fuel-plugin-celebrer,46571048,30,15,0.5,1
143,python-celebrerclient,Mirantis/python-celebrerclient,46571040,18,0,0,0
144,celebrer-dashboard,Mirantis/celebrer-dashboard,46571028,22,0,0,0
145,celebrer-agent,Mirantis/celebrer-agent,46571013,17,0,0,0
146,celebrer,Mirantis/celebrer,46570961,36,0,0,0
147,fuel-agent,Mirantis/fuel-agent,46343787,0,0,0,0
148,fuel-bootstrap-image-builder,Mirantis/fuel-bootstrap-image-builder,46044556,0,0,0,0
149,discovery,Mirantis/discovery,46044371,0,0,0,0
150,vmware-firewall-driver,Mirantis/vmware-firewall-driver,45102814,14,0,0,0
151,puppet-zookeeper,Mirantis/puppet-zookeeper,44691427,0,0,0,0
152,puppet-kafka,Mirantis/puppet-kafka,44635512,0,0,0,0
153,solar-qa,Mirantis/solar-qa,43823241,0,0,0,0
154,bareon-api,Mirantis/bareon-api,43742025,44,0,0,0
155,zabbix-configuration-files,Mirantis/zabbix-configuration-files,41817303,5,0,0,0
156,tools-sustaining,Mirantis/tools-sustaining,40887068,58,0,0,0
157,puppet-deployapp,Mirantis/puppet-deployapp,39908471,25,10,0.4,1
158,puppet-foreman_proxy,Mirantis/puppet-foreman_proxy,39776819,69,24,0.347826087,1
159,pmlc_keystone,Mirantis/pmlc_keystone,39776621,15,6,0.4,1
160,pmlc_neutron,Mirantis/pmlc_neutron,39776607,22,11,0.5,1
161,pmlc_cinder,Mirantis/pmlc_cinder,39776590,13,6,0.461538462,1
162,pmlc_nova,Mirantis/pmlc_nova,39776574,20,11,0.55,1
163,roles,Mirantis/roles,39775488,30,19,0.633333333,1
164,profiles,Mirantis/profiles,39775472,53,39,0.735849057,1
165,puppet-control-template,Mirantis/puppet-control-template,39775413,42,3,0.071428571,0
166,puppet-bootstrap,Mirantis/puppet-bootstrap,39762500,12,0,0,0
167,air-hockey-robot,Mirantis/air-hockey-robot,39216662,148,0,0,0
168,solar,Mirantis/solar,38374835,553,63,0.113924051,1
169,ldaptlssearch,Mirantis/ldaptlssearch,37550769,2,0,0,0
170,puppet-sudo,Mirantis/puppet-sudo,35653960,39,9,0.230769231,1
171,vmware-dvs,Mirantis/vmware-dvs,34460746,182,0,0,0
172,moscc-cli-smoketest,Mirantis/moscc-cli-smoketest,33248153,2,0,0,0
173,catalog,Mirantis/catalog,33239822,27,0,0,0
174,openstack-ha-tests,Mirantis/openstack-ha-tests,32066923,24,0,0,0
175,mos-tempest-runner,Mirantis/mos-tempest-runner,31533036,34,0,0,0
176,disk_perf_test_tool,Mirantis/disk_perf_test_tool,30024214,158,0,0,0
177,mos-iso-status,Mirantis/mos-iso-status,29960601,5,0,0,0
178,certification_tool,Mirantis/certification_tool,29598524,52,0,0,0
179,launchpad-reports-summary,Mirantis/launchpad-reports-summary,22878239,65,0,0,0
180,lsi-api,Mirantis/lsi-api,21233802,24,0,0,0
181,oscp,Mirantis/oscp,17432573,100,0,0,0
182,magnetodb,Mirantis/magnetodb,14331405,1,0,0,0
183,fuel-provision,Mirantis/fuel-provision,14172185,1,0,0,0
184,rally,Mirantis/rally,12587542,2,0,0,0
185,fuel-main,Mirantis/fuel-main,12482568,1,0,0,0
186,ruby-openstack,Mirantis/ruby-openstack,12317152,0,0,0,0
187,puppet-savanna,Mirantis/puppet-savanna,11760147,407,58,0.142506143,1
188,puppet-heat,Mirantis/puppet-heat,11760141,52,0,0,0
189,fuel-test,Mirantis/fuel-test,10932858,126,8,0.063492063,0
190,fuel-docs,Mirantis/fuel-docs,10931554,1,0,0,0
191,stackalytics,Mirantis/stackalytics,10863780,191,0,0,0
