org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/transmission/manifests/daemon.pp,2,2,2,4,7,29,58,2,1,1,247,85,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/uwsgi/manifests/init.pp,0,0,1,2,3,7,2,0,0,0,33,9,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/setup_test_volume.pp,0,0,0,0,1,5,4,0,0,0,28,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/db/mysql.pp,0,0,1,0,2,8,8,0,0,0,36,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/agent.pp,0,0,1,2,4,12,7,0,0,0,65,18,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/api.pp,0,0,1,2,4,21,13,1,0,0,68,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/venv/manifests/venv.pp,0,0,2,0,2,10,1,2,0,0,55,12,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/gerrit/manifests/init.pp,4,25,25,28,62,205,137,0,17,17,616,86,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jeepyb/manifests/init.pp,0,0,1,5,7,6,1,0,0,0,47,5,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/db.pp,0,0,0,0,0,6,2,0,0,0,40,12,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/docker_registry/manifests/init.pp,3,9,16,15,31,134,91,0,9,9,344,89,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/gerrit/manifests/hideci.pp,0,2,2,3,5,7,3,0,0,0,36,8,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_nova/manifests/init.pp,0,0,0,0,1,4,6,0,0,0,80,12,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/dev.pp,1,3,4,2,6,30,15,3,3,3,109,13,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/facter.pp,0,3,2,3,5,13,11,0,1,1,34,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/agent.pp,0,2,2,3,8,15,13,0,2,2,94,34,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/racks/manifests/webapp.pp,4,3,3,10,13,91,60,2,3,3,197,34,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/server.pp,0,9,7,6,13,35,21,1,3,3,313,128,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-module-keepalived/manifests/instance.pp,0,0,1,0,2,5,4,0,0,0,22,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/web.pp,0,0,0,0,0,0,0,0,0,0,23,8,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/lodgeit/manifests/database.pp,0,0,0,0,3,0,0,0,0,0,9,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/tpi/server.pp,0,0,0,1,1,16,13,0,0,0,37,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave/infra.pp,0,0,0,0,0,0,0,0,0,0,11,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/logstashforwarder.pp,0,1,1,0,1,6,4,0,1,1,33,9,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/obs_server/manifests/init.pp,0,1,8,9,19,32,12,0,1,1,84,15,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/fragment.pp,0,1,0,1,1,9,0,0,1,1,49,15,1
