org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,0,0,0,0,1,0,0,0,0,0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/config.pp,0,0,0,42,42,209,130,0,0,0,427,12,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,0,0,0,0,2,19,16,0,0,0,95,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,0,0,1,2,5,6,3,0,0,0,60,22,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client/config.pp,1,2,1,1,2,6,2,0,1,1,14,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,1,4,6,5,15,48,31,4,3,3,146,23,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nginx.pp,0,1,0,2,2,18,13,0,1,1,44,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/lpreports/manifests/webapp.pp,1,4,6,9,15,85,57,3,4,4,182,20,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,2,0,1,1,2,20,14,0,1,1,113,31,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/known_host.pp,0,0,0,0,1,3,4,0,0,0,29,10,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/keystone/auth.pp,3,0,0,4,4,13,12,0,0,0,42,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_compute.pp,0,0,0,0,7,0,0,0,0,0,39,18,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/manifests/init.pp,0,0,2,2,5,28,25,0,1,1,116,62,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/hosts.pp,0,0,0,0,1,0,0,0,0,0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-module-keepalived/manifests/install.pp,0,0,0,1,1,1,0,0,0,0,5,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/client.pp,0,0,0,1,1,1,0,0,0,0,17,3,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,0,2,3,4,8,24,13,0,0,0,76,16,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/static.pp,0,2,1,3,4,25,20,0,2,2,74,16,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/sshd.pp,0,1,1,3,6,14,10,0,1,1,52,10,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,0,0,2,0,2,4,2,0,0,0,50,10,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/init.pp,3,3,6,9,18,123,66,2,3,3,294,34,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/common/sudo.pp,0,0,0,0,0,0,0,0,0,0,19,9,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,0,0,2,3,5,19,14,1,0,0,77,17,1
